school,accept_rate,25th_percentile,75th_percentile
Pacific Lutheran University,0.7979999999999999,1070.0,1270.0
Western Michigan,0.799,1000.0,1210.0
Loyola University Maryland,0.802,1143.0,1320.0
Miami University—​Oxford,0.804,1210.0,1410.0
Goucher College,0.804,1040.0,1290.0
University of Oklahoma,0.804,1130.0,1310.0
Auburn University,0.807,1150.0,1320.0
University of Nevada—​Las Vegas,0.807,1030.0,1250.0
Boise State,0.8079999999999999,960.0,1180.0
St. Mary's College of California,0.81,1070.0,1240.0
Siena College,0.8109999999999999,1070.0,1280.0
University of North Dakota,0.8109999999999999,1010.0,1250.0
Texas State University,0.8109999999999999,1010.0,1180.0
Colorado State University,0.8140000000000001,1070.0,1290.0
University of Memphis,0.8140000000000001,1010.0,1230.0
West Virginia University,0.816,1050.0,1240.0
University of Oregon,0.816,1100.0,1310.0
University of St. Thomas (MN),0.8190000000000001,1130.0,1380.0
St. Mary's College (IN),0.8190000000000001,1050.0,1260.0
Illinois State,0.8190000000000001,1020.0,1220.0
Ohio University,0.821,1050.0,1260.0
California State University--Sacramento,0.823,940.0,1140.0
University of North Carolina—​Greensboro,0.8240000000000001,1000.0,1160.0
University of Iowa,0.826,1130.0,1340.0
St. Michael's College,0.826,1140.0,1320.0
University of Alaska Anchorage,0.83,1020.0,1220.0
Marquette University,0.83,1120.0,1320.0
College of St. Benedict,0.8340000000000001,990.0,1210.0
Oregon State University,0.836,1080.0,1320.0
The Catholic University of America,0.8370000000000001,1140.0,1320.0
University of Puget Sound,0.838,1150.0,1370.0
University of New Hampshire,0.84,1070.0,1270.0
Missouri University of Science & Technology,0.8420000000000001,1180.0,1380.0
St. Mary's College of Maryland,0.843,1060.0,1290.0
University of Arizona,0.846,1120.0,1350.0
Susquehanna University,0.848,1100.0,1290.0
Arizona State University—​Tempe,0.848,1130.0,1360.0
Wheaton College (IL),0.848,1220.0,1440.0
Northern Arizona,0.85,1030.0,1230.0
Washington and Jefferson College,0.852,1090.0,1280.0
Kent State,0.855,1040.0,1230.0
Mills College,0.855,1008.0,1240.0
Hope College,0.857,1130.0,1330.0
Valparaiso University,0.858,1070.0,1290.0
George Mason University,0.867,1110.0,1320.0
Old Dominion,0.87,990.0,1200.0
Missouri State,0.879,1040.0,1240.0
University of Wisconsin Milwaukee,0.885,1000.0,1398.0
Transylvania University,0.887,1100.0,1310.0
University of Maine,0.902,1050.0,1260.0
Humboldt State University,0.909,980.0,1190.0
Utah State,0.91,1050.0,1310.0
Iowa State University,0.9209999999999999,1100.0,1340.0
Washington College,0.924,1090.0,1300.0
University of Montana,0.9259999999999999,1060.0,1270.0
Samford University,0.929,1070.0,1250.0
University of Kentucky,0.945,1080.0,1300.0
University of Toledo,0.951,1000.0,1240.0
Portland State,0.961,1010.0,1230.0
Queens University of Charlotte,0.9620000000000001,1040.0,1240.0
Western Kentucky,0.973,990.0,1220.0
United States Naval Academy,0.083,1240.0,1520.0
United States Military Academy,0.10300000000000001,1160.0,1380.0
United States Air Force Academy,0.111,1230.0,1440.0
United States Coast Guard Academy,0.128,1245.0,1420.0
United States Merchant Maritime Academy,0.248,1200.0,1340.0
Howard University,0.316,1140.0,1285.0
Florida State University,0.36,1200.0,1340.0
Hillsdale College,0.36,1275.0,1465.0
University of Central Florida,0.382,1160.0,1340.0
University of Florida,0.38799999999999996,1280.0,1440.0
University of South Florida,0.47700000000000004,1170.0,1330.0
Gallaudet University,0.5710000000000001,793.0,1078.0
Florida International,0.575,1240.0,1300.0
Morehouse College,0.579,1010.0,1210.0
University of Alabama,0.591,1060.0,1280.0
Florida Institute of Technology,0.657,1150.0,1360.0
Louisiana State University—​Baton Rouge,0.746,1080.0,1310.0
The Citadel,0.747,1050.0,1230.0
New College of Florida,0.768,1220.0,1420.0
Thomas Aquinas College,0.777,1220.0,1400.0
University of Texas Rio Grande Valley,0.7979999999999999,950.0,1130.0
University of South Dakota,0.8640000000000001,990.0,1180.0
University of Mississippi,0.8809999999999999,1050.0,1270.0
University of Wyoming,0.96,1060.0,1280.0
University of Texas El Paso,0.9990000000000001,820.0,1050.0
